#OTU ID	KO6	WT8	KO2	KO5	OE2	WT1	WT2	WT4	KO7	KO3	WT6	OE4	KO9	WT3	KO1	KO4	WT5	KO8	OE6	OE5	WT7	OE7	WT9	OE1	OE8	OE9	OE3
OTU_143	2	1	1	1	1	3	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	1	1	1	2	0	1
OTU_277	1	1	1	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	2	2	0	0
OTU_438	0	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0
OTU_153	2	1	3	1	2	1	4	3	2	0	2	1	1	2	1	1	1	1	1	1	2	0	1	2	1	1	3
OTU_158	1	0	0	0	1	1	1	1	0	1	0	3	0	1	1	1	1	0	1	0	1	1	1	0	0	2	1
OTU_283	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	2	1	2	0	1	1	3	2	1	1	1
OTU_414	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_169	0	2	0	1	0	0	0	0	1	1	4	1	0	1	0	1	0	0	2	0	0	1	1	2	0	1	1
OTU_172	1	0	2	1	1	0	1	2	0	0	0	3	1	1	1	1	0	1	1	2	1	1	1	1	0	2	3
OTU_539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0
OTU_56	10	4	7	9	11	9	10	8	10	4	6	3	10	8	4	8	8	7	10	8	13	9	8	6	8	7	9
OTU_908	1	2	1	1	3	1	1	1	1	1	1	4	1	1	1	1	2	1	3	3	1	1	2	2	2	3	6
OTU_64	12	1	4	6	2	4	1	3	3	0	5	4	4	3	5	9	4	2	1	4	11	9	5	9	6	7	1
OTU_465	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_97	2	5	1	0	0	1	2	0	0	1	2	1	1	1	1	1	1	0	1	0	6	1	2	2	0	1	0
OTU_174	1	1	0	1	1	1	1	1	3	1	2	0	1	1	1	1	1	1	1	0	2	0	1	1	2	1	0
OTU_144	0	0	1	1	1	2	1	1	0	1	0	3	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0
OTU_922	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
OTU_716	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
